Species,N,CP_wet,CP_dry,NDF_wet,NDF_dry,IVDMD_wet_mean,IVDMD_wet_min,IVDMD_wet_max,IVDMD_dry_mean,IVDMD_dry_min,IVDMD_dry_max,ME_wet_mean,ME_wet_min,ME_wet_max,ME_dry_mean,ME_dry_min,ME_dry_max
Wait-a-bit thorn (Acacia brevispica Harms),14,211,194,374,452,864,808,919,723,567,923,11.4114774,10.749241,12.06188815,9.74406075,7.89925935,12.10919075
Shittah tree (A. seyal),10,197,162,407,321,783,650,915,687,426,948,10.45359975,8.8807883,12.01458555,9.31833735,6.2318427,12.404832
Umbrella thorn [A. tortilis (Forsk.) Hayne] pod,9,165,146,353,372,908,908,908,683,576,887,11.931806,11.931806,11.931806,9.27103475,8.0056902,11.68346735
Egyptian balsam [Balanites aegyptiaca (L.) Delile],19,175,165,370,408,900,844,956,802,605,955,11.8372008,11.1749644,12.4994372,10.6782871,8.34863405,12.48761155
Sudan teak (Cordia africana Lam.),14,180,171,518,539,657,667,657,632,560,689,8.96356785,9.08182435,8.96356785,8.6679266,7.8164798,9.34198865
Sycamore fig (Ficus sychomorus L.),8,165,121,514,545,546,424,668,530,344,717,7.6509207,6.2081914,9.09365,7.4617103,5.2621394,9.67310685
Chinese banyan (F. thonningii Blume),8,186,133,504,520,511,511,511,433,433,433,7.23702295,7.23702295,7.23702295,6.31462225,6.31462225,6.31462225
False brandy bush (Grewia bicolor Juss.),11,182,135,435,520,801,719,883,758,676,839,10.66646145,9.69675815,11.63616475,10.1579585,9.1882552,11.11583615
Grewia ferruginea Hochst. ex A. Rich.,9,171,142,402,531,604,604,604,584,423,650,8.3368084,8.3368084,8.3368084,8.1002954,6.19636575,8.8807883
Prickly pear [Opuntia ficus-indica (L.) Mill.],10,95,61,315,364,713,632,7194,642,508,776,9.62580425,8.6679266,9.69675815,8.7861831,7.201546,10.3708202
Rhus natalensis Bernh.,21,157,122,418,439,779,615,868,661,318,956,10.40629715,8.46689055,11.45878,9.01087045,4.9546725,12.4994372
Bitter leaf (Vernonia amygdalina Delile),17,245,205,418,452,658,610,713,573,448,796,8.9753935,8.4077623,9.62580425,7.97021325,6.492007,10.6073332
