Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2019","2019","An","20402276","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2020","2020","An","20585153","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2021","2021","An","20764244","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2022","2022","An","20901100","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02111","Cattle","2023","2023","An","20906596","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02123","Goats","2019","2019","An","81875539","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02123","Goats","2020","2020","An","84039154","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02123","Goats","2021","2021","An","86140133","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02123","Goats","2022","2022","An","88070668","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02123","Goats","2023","2023","An","89294278","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02122","Sheep","2019","2019","An","46767182","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02122","Sheep","2020","2020","An","47926393","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02122","Sheep","2021","2021","An","49124553","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02122","Sheep","2022","2022","An","50304116","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5111","Stocks","02122","Sheep","2023","2023","An","51420432","I","Imputed value",""
