Item,Year,Value,PcChange
Cattle,2019,20402276,NA
Cattle,2020,20585153,0.00896355877158019
Cattle,2021,20764244,0.008700008204942659
Cattle,2022,20901100,0.0065909454733820315
Cattle,2023,58490000,1.7984173081799522
Goats,2019,81875539,NA
Goats,2020,84039154,0.02642565809551495
Goats,2021,86140133,0.02500000178488232
Goats,2022,88070668,0.022411562796170747
Goats,2023,124070000,0.4087550692814093
Sheep,2019,46767182,NA
Sheep,2020,47926393,0.024786847323834908
Sheep,2021,49124553,0.02500000365143273
Sheep,2022,50304116,0.024011679047746246
Sheep,2023,63970000,0.2716653245631033
