"sum.Bull","sum.Cow","sum.Steer","sum.Heifer","sum.Calf","sum.Sheep","sum.Lamb","sum.Goat","sum.Kid"
1509,14185,2113,4225,8149,43458,21405,50357,24803
1578,14834,2209,4419,8522,44991,22160,51407,25320
461,4333,645,1291,2489,6487,3195,7724,3804
226,329,38,214,210,7894,3888,12933,6370
271,394,45,256,251,10258,5052,34038,16765
814,1182,136,770,754,17819,8777,75907,37387
3905,36710,5468,10935,21089,215172,105980,281218,138510
2062,19381,2886,5773,11134,220147,108431,237077,116769
2318,21787,3245,6490,12516,215410,106098,241257,118828
6349,35666,5163,12173,20768,92893,45753,107517,52956
20961,30430,3501,19813,19418,56657,27906,73000,35955
20381,29588,3404,19265,18880,71935,35431,83417,41086
1379,2002,230,1303,1277,20278,9988,103692,51072
3705,5379,619,3502,3432,28336,13956,131805,64919
6206,9009,1037,5866,5749,32125,15823,135254,66618
12242,17854,2058,11590,11387,52890,26050,44023,21683
34706,50384,5797,32805,32150,35320,17396,43367,21360
21022,30601,3524,19890,19521,79701,39256,96072,47319
