"STATE","SHP"
"Abia",240565
"Adamawa",1525157
"Akwa Ibom",906117
"Anambra",151802
"Bauchi",539066
"Bayelsa",58872
"Benue",845793
"Borno",2673800
"Cross River",174242
"Delta",244733
"Ebonyi",201663
"Edo",588363
"Ekiti",74788
"Enugu",180738
"Federal Capital Territory",194811
"Gombe",760031
"Imo",87760
"Jigawa",5506340
"Kaduna",1796264
"Kano",3955855
"Katsina",5425982
"Kebbi",2206570
"Kogi",1188786
"Kwara",427990
"Lagos",30139
"Nasarawa",1063189
"Niger",844369
"Ogun",223063
"Ondo",158100
"Osun",636566
"Oyo",701094
"Plateau",2312942
"Rivers",40285
"Sokoto",2000041
"Taraba",1241841
"Yobe",1542261
"Zamfara",6640602
