"NAME_1","TLU"
"Abia",130843
"Adamawa",2847021
"Akwa Ibom",380908
"Anambra",141766
"Bauchi",4987748
"Bayelsa",40604
"Benue",1210273
"Borno",6732827
"Cross River",114866
"Delta",349512
"Ebonyi",236650
"Edo",339683
"Ekiti",144747
"Enugu",298546
"Federal Capital Territory",737756
"Gombe",2083658
"Imo",219217
"Jigawa",3888274
"Kaduna",4415508
"Kano",2549324
"Katsina",3973786
"Kebbi",3940022
"Kogi",1319775
"Kwara",1587908
"Lagos",19434
"Nasarawa",1676882
"Niger",4805474
"Ogun",284375
"Ondo",314517
"Osun",639954
"Oyo",1241515
"Plateau",3609122
"Rivers",204847
"Sokoto",4066194
"Taraba",3594827
"Yobe",5272938
"Zamfara",4688982
