"NAME_1","area_m2","area_km2","TLU","DMReq","DMSupply","adeq_2023","DMReq_tons","DMReq_class","DMSupply_tons","DMSupply_class","DMadequacy","DMadequacy_class","TLU_class","DMSupply_tha","DMSupply_tha_class"
"Abia",4798717753.63159,4798.71775363158,130843,717350976,1176097152,1.63950031623014,717350.976,"500,000-1,000,000",1176097.152,"1,000,000-5,000,000",0.63950031623014,"50%-100%","100,000-250,000",2.4508571088807,"2-2.5"
"Adamawa",35449997011.1646,35449.9970111646,2847021,7370485760,8983528448,1.21885161175591,7370485.76,"5,000,000-10,000,000",8983528.448,"5,000,000-10,000,000",0.21885161175591,"0%-25%","2,000,000-3,000,000",2.53414081958053,"2.5-3"
"Akwa Ibom",6830869449.92261,6830.86944992261,380908,2094462336,1451388544,0.692964738039577,2094462.336,"1,000,000-5,000,000",1451388.544,"1,000,000-5,000,000",-0.307035261960423,"-50%--25%","250,000-500,000",2.12474935239239,"2-2.5"
"Anambra",4675207609.08112,4675.20760908112,141766,660606272,714998976,1.08233755310152,660606.272,"500,000-1,000,000",714998.976,"500,000-1,000,000",0.08233755310152,"0%-25%","100,000-250,000",1.52934165877722,"1.5-2"
"Bauchi",51164709805.5738,51164.7098055738,4987748,10813565952,12472906752,1.15344991720267,10813565.952,"10,000,000-15,000,000",12472906.752,"10,000,000-15,000,000",0.15344991720267,"0%-25%",">3,000,000",2.43779487842247,"2-2.5"
"Bayelsa",9897524792.21953,9897.52479221953,40604,232455968,1738914432,7.48061857461108,232455.968,"80,000-500,000",1738914.432,"1,000,000-5,000,000",6.48061857461108,">100%","<100,000",1.75691849073919,"1.5-2"
"Benue",32051536706.4072,32051.5367064072,1210273,5154265088,7362691584,1.42846583524421,5154265.088,"5,000,000-10,000,000",7362691.584,"5,000,000-10,000,000",0.42846583524421,"25%-50%","1,000,000-2,000,000",2.2971415228675,"2-2.5"
"Borno",75053483482.5866,75053.4834825866,6732827,14891193344,11006461952,0.739125582331839,14891193.344,"10,000,000-15,000,000",11006461.952,"10,000,000-15,000,000",-0.260874417668161,"-50%--25%",">3,000,000",1.46648249238873,"1-1.5"
"Cross River",21671056751.4518,21671.0567514518,114866,552352640,3537554688,6.40452209660843,552352.64,"500,000-1,000,000",3537554.688,"1,000,000-5,000,000",5.40452209660843,">100%","100,000-250,000",1.63238679524155,"1.5-2"
"Delta",16901933184.4469,16901.9331844469,349512,1857808896,3268545792,1.75935522702977,1857808.896,"1,000,000-5,000,000",3268545.792,"1,000,000-5,000,000",0.75935522702977,"50%-100%","250,000-500,000",1.93382955448416,"1.5-2"
"Ebonyi",6304750972.54628,6304.75097254628,236650,1165751680,1397132160,1.19848178987827,1165751.68,"1,000,000-5,000,000",1397132.16,"1,000,000-5,000,000",0.19848178987827,"0%-25%","100,000-250,000",2.21599896028208,"2-2.5"
"Edo",19984705308.7827,19984.7053087827,339683,1731983616,4470393856,2.58108322428842,1731983.616,"1,000,000-5,000,000",4470393.856,"1,000,000-5,000,000",1.58108322428842,">100%","250,000-500,000",2.23690756852711,"2-2.5"
"Ekiti",5367115029.95318,5367.11502995318,144747,842934016,1711216256,2.03007142139107,842934.016,"500,000-1,000,000",1711216.256,"1,000,000-5,000,000",1.03007142139107,">100%","100,000-250,000",3.18833534673642,">3"
"Enugu",7855009255.25209,7855.00925525209,298546,1491729920,1766156800,1.18396552641379,1491729.92,"1,000,000-5,000,000",1766156.8,"1,000,000-5,000,000",0.18396552641379,"0%-25%","250,000-500,000",2.2484464914145,"2-2.5"
"Federal Capital Territory",7578541880.72419,7578.54188072419,737756,2238617344,1536299264,0.686271491694473,2238617.344,"1,000,000-5,000,000",1536299.264,"1,000,000-5,000,000",-0.313728508305527,"-50%--25%","500,000-1,000,000",2.02716998623117,"2-2.5"
"Gombe",18923518789.6173,18923.5187896173,2083658,5243681280,3833789440,0.731125565282259,5243681.28,"5,000,000-10,000,000",3833789.44,"1,000,000-5,000,000",-0.268874434717741,"-50%--25%","2,000,000-3,000,000",2.02593898239658,"2-2.5"
"Imo",5395850474.99341,5395.85047499341,219217,1302603136,1183966592,0.908923492719121,1302603.136,"1,000,000-5,000,000",1183966.592,"1,000,000-5,000,000",-0.091076507280879,"-25%-0%","100,000-250,000",2.19421682918566,"2-2.5"
"Jigawa",25281931755.8984,25281.9317558984,3888274,13326300160,4817305088,0.361488562478845,13326300.16,"10,000,000-15,000,000",4817305.088,"1,000,000-5,000,000",-0.638511437521155,"<-50%",">3,000,000",1.90543394172247,"1.5-2"
"Kaduna",46088408653.9658,46088.4086539658,4415508,11690763264,12355333120,1.0568457200777,11690763.264,"10,000,000-15,000,000",12355333.12,"10,000,000-15,000,000",0.0568457200776999,"0%-25%",">3,000,000",2.68078969980597,"2.5-3"
"Kano",21080617552.7231,21080.6175527231,2549324,9086216192,5353786880,0.589220723662042,9086216.192,"5,000,000-10,000,000",5353786.88,"5,000,000-10,000,000",-0.410779276337958,"-50%--25%","2,000,000-3,000,000",2.53967269536106,"2.5-3"
"Katsina",25000388251.6659,25000.3882516659,3973786,13074745344,5540898304,0.42378632686278,13074745.344,"10,000,000-15,000,000",5540898.304,"5,000,000-10,000,000",-0.57621367313722,"<-50%",">3,000,000",2.21632490192658,"2-2.5"
"Kebbi",37768670612.2603,37768.6706122603,3940022,10546934784,5980442624,0.567031345739665,10546934.784,"10,000,000-15,000,000",5980442.624,"5,000,000-10,000,000",-0.432968654260335,"-50%--25%",">3,000,000",1.58344006475533,"1.5-2"
"Kogi",29666410205.248,29666.410205248,1319775,4804899840,6949898240,1.44641896219006,4804899.84,"1,000,000-5,000,000",6949898.24,"5,000,000-10,000,000",0.44641896219006,"25%-50%","1,000,000-2,000,000",2.34268258003476,"2-2.5"
"Kwara",36542433115.1215,36542.4331151215,1587908,4812286464,7972375552,1.65667102564242,4812286.464,"1,000,000-5,000,000",7972375.552,"5,000,000-10,000,000",0.65667102564242,"50%-100%","1,000,000-2,000,000",2.18167616997046,"2-2.5"
"Lagos",3859152221.0136,3859.1522210136,19434,71503208,330670816,4.62455916663208,71503.208,"<80,000",330670.816,"<500,000",3.62455916663208,">100%","<100,000",0.856848336273063,"<1"
"Nasarawa",27088973991.8491,27088.9739918491,1676882,5156331008,5908356096,1.14584499847532,5156331.008,"5,000,000-10,000,000",5908356.096,"5,000,000-10,000,000",0.14584499847532,"0%-25%","1,000,000-2,000,000",2.18109260903635,"2-2.5"
"Niger",73670605285.9184,73670.6052859184,4805474,12211964928,14174738432,1.16072544554232,12211964.928,"10,000,000-15,000,000",14174738.432,"10,000,000-15,000,000",0.16072544554232,"0%-25%",">3,000,000",1.92406976663044,"1.5-2"
"Ogun",16442812281.1692,16442.8122811692,284375,1300683392,3455743744,2.65686773987808,1300683.392,"1,000,000-5,000,000",3455743.744,"1,000,000-5,000,000",1.65686773987808,">100%","250,000-500,000",2.10167438812011,"2-2.5"
"Ondo",14837473609.033,14837.473609033,314517,1887493376,3514673664,1.86208529719365,1887493.376,"1,000,000-5,000,000",3514673.664,"1,000,000-5,000,000",0.86208529719365,"50%-100%","250,000-500,000",2.36878174587639,"2-2.5"
"Osun",9411755714.03259,9411.75571403259,639954,3484869632,2122216576,0.608980191543647,3484869.632,"1,000,000-5,000,000",2122216.576,"1,000,000-5,000,000",-0.391019808456353,"-50%--25%","500,000-1,000,000",2.25485726625464,"2-2.5"
"Oyo",28142435006.924,28142.435006924,1241515,4722141696,6046201344,1.28039388337745,4722141.696,"1,000,000-5,000,000",6046201.344,"5,000,000-10,000,000",0.28039388337745,"25%-50%","1,000,000-2,000,000",2.14842864255081,"2-2.5"
"Plateau",28487319364.7181,28487.3193647181,3609122,10897652736,7338384384,0.673391285424054,10897652.736,"10,000,000-15,000,000",7338384.384,"5,000,000-10,000,000",-0.326608714575946,"-50%--25%",">3,000,000",2.57601787309222,"2.5-3"
"Rivers",8653503218.73813,8653.50321873813,204847,1201922816,1435942528,1.194704442652,1201922.816,"1,000,000-5,000,000",1435942.528,"1,000,000-5,000,000",0.194704442652,"0%-25%","100,000-250,000",1.65937712358001,"1.5-2"
"Sokoto",33648121250.3527,33648.1212503527,4066194,9607442432,4278011392,0.445280981101798,9607442.432,"5,000,000-10,000,000",4278011.392,"1,000,000-5,000,000",-0.554719018898202,"<-50%",">3,000,000",1.27139680702237,"1-1.5"
"Taraba",61904830540.288,61904.830540288,3594827,9308550144,15725257728,1.68933480345873,9308550.144,"5,000,000-10,000,000",15725257.728,">15,000,000",0.68933480345873,"50%-100%",">3,000,000",2.54023112425224,"2.5-3"
"Yobe",48031168032.3459,48031.1680323459,5272938,11718940672,6374265344,0.543928459270213,11718940.672,"10,000,000-15,000,000",6374265.344,"5,000,000-10,000,000",-0.456071540729787,"-50%--25%",">3,000,000",1.32711020887673,"1-1.5"
"Zamfara",36333512676.1813,36333.5126761813,4688982,15118021632,7418752512,0.490722443226095,15118021.632,">15,000,000",7418752.512,"5,000,000-10,000,000",-0.509277556773905,"<-50%",">3,000,000",2.04184841089241,"2-2.5"
